index,pagewise_texts,page_id,splitted_texts,splitted_texts_chunks,id
0,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle",1,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle","PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surp",0
0,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle",1,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle","ass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, j",1
0,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle",1,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle","uggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no lon",2
0,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle",1,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle","ger have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do",3
0,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle",1,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle"," all this, you need to protect your health so you can
focus on living your life to the fullest.
That",4
0,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle",1,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle","'s why we've designed PRULady, a unique health plan
especially for women. With a choice of four plan",5
0,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle",1,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle","s, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams ",6
0,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle",1,"PRUDENTIAL
Listening. Understanding. Delivering
PRULady
Women don't just
break boundaries.
They surpass them.
Whether you're a young woman, poised to start a new chapter
in your life; a busy mother, juggling priorities and nap times;
or a focused and ambitious professional. Or, all three.
You no longer have to compromise and choose.
You can set your own limits. Or, simply break free of them.
To do all this, you need to protect your health so you can
focus on living your life to the fullest.
That's why we've designed PRULady, a unique health plan
especially for women. With a choice of four plans, you enjoy
comprehensive coverage through every stage in your life.
Be free to pursue your dreams and push yourself to be
the best you can be.
Simple and easy to purchase with hassle","and push yourself to be
the best you can be.
Simple and easy to purchase with hassle",7
1,"-free
application process.
Key Benefits*
• Preventive health screening once every 2 years
•
Comprehensive coverage specific for women
",2,"-free
application process.
Key Benefits*
• Preventive health screening once every 2 years
•
Comprehensive coverage specific for women
","-free
application process.
Key Benefits*
• Preventive health screening once every 2 years
•
Comprehe",8
1,"-free
application process.
Key Benefits*
• Preventive health screening once every 2 years
•
Comprehensive coverage specific for women
",2,"-free
application process.
Key Benefits*
• Preventive health screening once every 2 years
•
Comprehensive coverage specific for women
","nsive coverage specific for women
",9
2,"-
-
-
Covers female-related medical conditions and procedures",3,"-
-
-
Covers female-related medical conditions and procedures","-
-
-
Covers female-related medical conditions and procedures",10
3,- Covers reconstructive or skin grafting surgeries,4,- Covers reconstructive or skin grafting surgeries,- Covers reconstructive or skin grafting surgeries,11
4,"- Provides coverage for post diagnosis support
• Premium waiver for 36 months upon female illnesses claim
•
Optional add",5,"- Provides coverage for post diagnosis support
• Premium waiver for 36 months upon female illnesses claim
•
Optional add","- Provides coverage for post diagnosis support
• Premium waiver for 36 months upon female illnesses ",12
4,"- Provides coverage for post diagnosis support
• Premium waiver for 36 months upon female illnesses claim
•
Optional add",5,"- Provides coverage for post diagnosis support
• Premium waiver for 36 months upon female illnesses claim
•
Optional add","claim
•
Optional add",13
5,"-on coverage to include
Pregnancy complications
-
Congenital illnesses",6,"-on coverage to include
Pregnancy complications
-
Congenital illnesses","-on coverage to include
Pregnancy complications
-
Congenital illnesses",14
6,"-
Hospital care
Other Benefits
Enjoy 15% discount on the first",7,"-
Hospital care
Other Benefits
Enjoy 15% discount on the first","-
Hospital care
Other Benefits
Enjoy 15% discount on the first",15
7,"-year premium of selected Prudential policies bought
for significant life events.
* Terms & Conditions apply.
Please refer to www.prudential.com.sg/prulady for more details.
Here is a list of illnesses and medical procedures
covered by PRULady*:
PRULady offers you coverage for the following illnesses:
Female Illnesses benefit
1. Systemic Lupus Erythematosus with Lupus Nephritis
2. Rheumatoid Arthritis
3. Chronic Auto",8,"-year premium of selected Prudential policies bought
for significant life events.
* Terms & Conditions apply.
Please refer to www.prudential.com.sg/prulady for more details.
Here is a list of illnesses and medical procedures
covered by PRULady*:
PRULady offers you coverage for the following illnesses:
Female Illnesses benefit
1. Systemic Lupus Erythematosus with Lupus Nephritis
2. Rheumatoid Arthritis
3. Chronic Auto","-year premium of selected Prudential policies bought
for significant life events.
* Terms & Conditio",16
7,"-year premium of selected Prudential policies bought
for significant life events.
* Terms & Conditions apply.
Please refer to www.prudential.com.sg/prulady for more details.
Here is a list of illnesses and medical procedures
covered by PRULady*:
PRULady offers you coverage for the following illnesses:
Female Illnesses benefit
1. Systemic Lupus Erythematosus with Lupus Nephritis
2. Rheumatoid Arthritis
3. Chronic Auto",8,"-year premium of selected Prudential policies bought
for significant life events.
* Terms & Conditions apply.
Please refer to www.prudential.com.sg/prulady for more details.
Here is a list of illnesses and medical procedures
covered by PRULady*:
PRULady offers you coverage for the following illnesses:
Female Illnesses benefit
1. Systemic Lupus Erythematosus with Lupus Nephritis
2. Rheumatoid Arthritis
3. Chronic Auto","ns apply.
Please refer to www.prudential.com.sg/prulady for more details.
Here is a list of illnesse",17
7,"-year premium of selected Prudential policies bought
for significant life events.
* Terms & Conditions apply.
Please refer to www.prudential.com.sg/prulady for more details.
Here is a list of illnesses and medical procedures
covered by PRULady*:
PRULady offers you coverage for the following illnesses:
Female Illnesses benefit
1. Systemic Lupus Erythematosus with Lupus Nephritis
2. Rheumatoid Arthritis
3. Chronic Auto",8,"-year premium of selected Prudential policies bought
for significant life events.
* Terms & Conditions apply.
Please refer to www.prudential.com.sg/prulady for more details.
Here is a list of illnesses and medical procedures
covered by PRULady*:
PRULady offers you coverage for the following illnesses:
Female Illnesses benefit
1. Systemic Lupus Erythematosus with Lupus Nephritis
2. Rheumatoid Arthritis
3. Chronic Auto","s and medical procedures
covered by PRULady*:
PRULady offers you coverage for the following illnesse",18
